Msa,Year,DR,VP,MB,RB,MG,SR,HR,CR
Metro,1990,4276368,0,21239993,0,0,0,1578582,0
EugeneSpringfield,1990,453147,0,3560159,0,0,0,0,0
SalemKeizer,1990,0,0,1869484,0,0,0,0,0
RogueValley,1990,215668,0,351900,0,0,0,0,0
Bend,1990,0,0,0,0,0,0,0,0
Corvallis,1990,0,0,0,0,0,0,0,0
Metro,1995,4276368,0,21239993,0,0,0,1578582,0
EugeneSpringfield,1995,453147,0,3560159,0,0,0,0,0
SalemKeizer,1995,0,0,1869484,0,0,0,0,0
RogueValley,1995,215668,0,351900,0,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0,0
Metro,2000,4894400,0,22865790,0,0,0,5052156,0
EugeneSpringfield,2000,524944,0,3854315,0,0,0,0,0
SalemKeizer,2000,282970,0,2089009,0,0,0,0,0
RogueValley,2000,191520,0,548856,0,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0,0
Metro,2005,6252536,0,24349017,0,0,0,3984245,0
EugeneSpringfield,2005,632442,17025,3255960,0,0,0,0,0
SalemKeizer,2005,1033835,36320,2617061,0,0,0,0,0
RogueValley,2005,270555,0,645168,0,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0
Corvallis,2005,0,0,0,0,0,0,0,0
Metro,2010,7770491,300378,21691044,0,0,0,4211187,118207
EugeneSpringfield,2010,1965953,271363,3538936,0,0,0,0,0
SalemKeizer,2010,3485995,223173,2019554,0,0,0,0,0
RogueValley,2010,382639,0,607922,0,0,0,0,0
Bend,2010,148197,0,266086,0,0,0,0,0
Corvallis,2010,0,0,373922,0,0,0,0,0
Metro,2015,8809328,399061,23745459,794457,0,358823,7836651,193393
EugeneSpringfield,2015,4408741,470742,2817774,429059,0,0,0,0
SalemKeizer,2015,5316303,597878,2059616,0,0,0,0,0
RogueValley,2015,502358,0,755065,0,0,0,0,0
Bend,2015,276665,0,277486,348990,0,0,0,0
Corvallis,2015,295748,0,433752,99531,0,0,0,0
Metro,2020,9797992.499,443847.3269,26410394.66,883618.3335,0,399093.4453,8716152.664,215097.3563
EugeneSpringfield,2020,4788030.291,511240.5004,3060190.486,465971.4618,0,0,0,0
SalemKeizer,2020,5966870.866,671041.6655,2311655.808,0,0,0,0,0
RogueValley,2020,1299365.008,0,1952999.733,0,0,0,0,0
Bend,2020,272603.0356,0,273411.9817,343866.1681,0,0,0,0
Corvallis,2020,389570.863,0,571355.1434,131106.1362,0,0,0,0
Metro,2035,24726883.35,1120123.442,66651076.54,2229959.603,0,1007179.488,21996678.42,542834.3855
EugeneSpringfield,2035,5539271.222,591454.0259,3540333.72,539082.2847,0,0,0,0
SalemKeizer,2035,9965098.971,1120687.335,3860629.705,0,0,0,0,0
RogueValley,2035,2381994.664,0,3580237.203,0,0,0,0,0
Bend,2035,513963.7306,0,515488.9117,648322.7092,0,0,0,0
Corvallis,2035,670357.6996,0,983164.6974,225602.1079,0,0,0,0
Metro,2050,37272056.88,1688417.583,100466471.3,3361328.638,0,1518171.564,33156683.66,818241.1752
EugeneSpringfield,2050,7659035.598,817791.2323,4895146.114,745377.9105,0,0,0,0
SalemKeizer,2050,14661138.56,1648809.746,5679946.3,0,0,0,0,0
RogueValley,2050,3351740.04,0,5037804.899,0,0,0,0,0
Bend,2050,745514.8865,0,747727.1928,940405.3286,0,0,0,0
Corvallis,2050,923342.9977,0,1354199.765,310741.7528,0,0,0,0
