Value,Area,Fwy,Art,Other
BusVmt,Metro,0.15,0.591853844,0.258146156
BusVmt,EugeneSpringfield,0.05,0.661483708,0.288516292
BusVmt,SalemKeizer,0,0.69629864,0.30370136
BusVmt,RogueValley,0,0.69629864,0.30370136
BusVmt,Bend,0,0.69629864,0.30370136
BusVmt,Corvallis,0,0.69629864,0.30370136
TruckVmt,Metro,0.452028197,0.398645294,0.149326508
TruckVmt,EugeneSpringfield,0.452028197,0.398645294,0.149326508
TruckVmt,SalemKeizer,0.452028197,0.398645294,0.149326508
TruckVmt,RogueValley,0.452028197,0.398645294,0.149326508
TruckVmt,Bend,0.452028197,0.398645294,0.149326508
TruckVmt,Corvallis,0.452028197,0.398645294,0.149326508
