Year,Auto,LtTruck
1975,14,11.7
1976,15.5,12.3
1977,16.2,13.1
1978,17.8,12.7
1979,17.9,12.2
1980,21.1,16
1981,22.6,17.3
1982,23.8,17.7
1983,23.7,18.3
1984,24.3,18
1985,24.9,18.1
1986,25.9,18.9
1987,26,19.2
1988,26.5,18.9
1989,26.2,18.5
1990,25.9,18.7
1991,26.1,19.2
1992,26,18.8
1993,26.3,19
1994,26.2,18.6
1995,26.5,18.4
1996,26.5,18.9
1997,26.5,18.5
1998,26.5,18.8
1999,26.1,18.2
2000,26.1,18.6
2001,26.5,18.5
2002,26.4,18.5
2003,26.5,18.7
2004,26.6,18.6
2005,26.9,19.1
2006,27.2,19.5
2007,27.5,20
2008,27.8,20.3
2009,27.9,20.5
2010,29.2,20.9
2011,30.4,21.7
2012,31.5,22.5
2013,32.7,23.4
2014,33.8,24.2
2015,35,25
2016,35.6,26.2
2017,36.2,27.4
2018,36.8,28.6
2019,37.4,29.8
2020,38,31
2021,38.4,32.2
2022,38.8,33.4
2023,39.2,34.6
2024,39.6,35.8
2025,40,37
2026,40.2,37.6
2027,40.4,38.2
2028,40.5,38.9
2029,40.7,39.5
2030,40.9,40.1
2031,41.1,40.3
2032,41.2,40.4
2033,41.4,40.6
2034,41.6,40.7
2035,41.8,40.9
2036,41.9,40.9
2037,42.1,41
2038,42.3,41
2039,42.5,41.1
2040,42.6,41.1
2041,42.8,41.1
2042,43,41.1
2043,43.2,41.1
2044,43.3,41.1
2045,43.5,41.1
2046,43.7,41.1
2047,43.8,41.1
2048,44,41.1
2049,44.2,41.1
2050,44.4,41.1
