Year,Truck_MPG,Bus_MPG,Train_MPkWh,Bus_MPkWh
1975,5.1,4.2,0.098,0.098
1976,5.1,4.1,0.098,0.098
1977,5.1,4.1,0.098,0.098
1978,5.1,4,0.098,0.098
1979,5.1,3.9,0.098,0.098
1980,5.3,3.9,0.098,0.098
1981,5.1,3.8,0.098,0.098
1982,5.2,3.8,0.098,0.098
1983,5.3,3.7,0.098,0.098
1984,5.5,3.7,0.098,0.098
1985,5.6,3.6,0.098,0.098
1986,5.6,3.6,0.098,0.098
1987,5.7,3.7,0.096,0.096
1988,5.8,3.7,0.086,0.086
1989,5.8,3.7,0.088,0.088
1990,5.8,3.8,0.101,0.101
1991,5.7,3.8,0.101,0.101
1992,5.8,3.7,0.096,0.096
1993,5.8,3.8,0.099,0.099
1994,5.8,3.8,0.121,0.121
1995,5.8,3.9,0.12,0.12
1996,5.9,3.8,0.117,0.117
1997,6.1,3.8,0.114,0.114
1998,6.1,3.6,0.115,0.115
1999,6,3.7,0.117,0.117
2000,6,3.6,0.114,0.114
2001,6,4,0.111,0.111
2002,5.9,4.3,0.12,0.12
2003,5.9,4.5,0.127,0.127
2004,5.7,4.5,0.122,0.122
2005,5.6,4.7,0.152,0.152
2006,5.6,4.7,0.152,0.152
2007,5.6,4.7,0.152,0.152
2008,5.6,4.7,0.152,0.152
2009,5.6,4.8,0.152,0.152
2010,5.7,4.8,0.152,0.608
2011,5.8,4.8,0.152,0.608
2012,5.9,4.8,0.152,0.608
2013,6,4.8,0.152,0.608
2014,6.1,5.2,0.152,0.608
2015,6.2,5.2,0.155,0.62
2016,6.3,5.2,0.157,0.628
2017,6.4,5.2,0.159,0.636
2018,6.4,5.2,0.161,0.644
2019,6.4,5.8,0.163,0.652
2020,6.4,5.8,0.165,0.66
2021,6.5,5.8,0.167,0.668
2022,6.5,5.8,0.169,0.676
2023,6.5,5.8,0.171,0.684
2024,6.5,6.5,0.173,0.692
2025,6.6,6.5,0.175,0.7
2026,6.6,6.5,0.177,0.708
2027,6.6,6.5,0.179,0.716
2028,6.6,6.5,0.181,0.724
2029,6.7,7.5,0.183,0.732
2030,6.7,7.5,0.185,0.74
2031,6.7,7.5,0.187,0.748
2032,6.7,7.5,0.189,0.756
2033,6.8,7.5,0.191,0.764
2034,6.8,8.5,0.193,0.772
2035,6.8,8.5,0.195,0.78
2036,6.9,8.5,0.197,0.788
2037,6.9,8.5,0.199,0.796
2038,6.9,8.5,0.201,0.804
2039,6.9,9.5,0.203,0.812
2040,7,9.5,0.205,0.82
2041,7,9.5,0.207,0.828
2042,7,9.5,0.209,0.836
2043,7,9.5,0.211,0.844
2044,7.1,9.5,0.213,0.852
2045,7.1,9.5,0.215,0.86
2046,7.1,9.5,0.217,0.868
2047,7.1,9.5,0.219,0.876
2048,7.2,9.5,0.221,0.884
2049,7.2,9.5,0.223,0.892
2050,7.2,9.5,0.225,0.9
