Msa,Year,Fwy,Art
Metro,1990,526,2232
EugeneSpringfield,1990,130,479
SalemKeizer,1990,122,419
RogueValley,1990,90,354
Bend,1990,48,164
Corvallis,1990,10,146
Metro,1995,526,2232
EugeneSpringfield,1995,130,479
SalemKeizer,1995,122,419
RogueValley,1995,90,354
Bend,1995,48,164
Corvallis,1995,10,146
Metro,2000,526,2232
EugeneSpringfield,2000,130,479
SalemKeizer,2000,122,419
RogueValley,2000,90,354
Bend,2000,48,164
Corvallis,2000,10,146
Metro,2005,526,2232
EugeneSpringfield,2005,130,479
SalemKeizer,2005,122,419
RogueValley,2005,90,354
Bend,2005,48,164
Corvallis,2005,10,146
Metro,2010,532,2247
EugeneSpringfield,2010,131,482
SalemKeizer,2010,123,422
RogueValley,2010,91,356
Bend,2010,48,165
Corvallis,2010,10,147
Metro,2015,535,2256
EugeneSpringfield,2015,132,483
SalemKeizer,2015,123,424
RogueValley,2015,92,358
Bend,2015,49,165
Corvallis,2015,10,147
Metro,2020,543,2276
EugeneSpringfield,2020,133,486
SalemKeizer,2020,124,428
RogueValley,2020,93,361
Bend,2020,49,166
Corvallis,2020,10,148
Metro,2035,561,2325
EugeneSpringfield,2035,137,493
SalemKeizer,2035,128,441
RogueValley,2035,97,371
Bend,2035,50,169
Corvallis,2035,10,150
Metro,2050,576,2364
EugeneSpringfield,2050,140,500
SalemKeizer,2050,131,452
RogueValley,2050,100,378
Bend,2050,51,171
Corvallis,2050,11,151
