"1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Baker",0.799,0.765,0.739,0.765,0.829,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
"Benton",0.945,1.01,1.032,1.043,1.025,1.022,1.022,1.022,1.022,1.022,1.022,1.022,1.022
"Clackamas",1.157,1.194,1.289,1.248,1.223,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243
"Clatsop",0.957,0.912,0.879,0.905,0.931,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925
"Columbia",0.904,0.932,0.931,0.901,0.906,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904
"Coos",0.856,0.84,0.789,0.828,0.874,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862
"Crook",0.803,0.776,0.745,0.78,0.796,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
"Curry",0.885,0.874,0.865,0.857,0.87,0.877,0.877,0.877,0.877,0.877,0.877,0.877,0.877
"Deschutes",1.009,0.99,0.974,1.023,0.991,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
"Douglas",0.837,0.819,0.809,0.838,0.84,0.831,0.831,0.831,0.831,0.831,0.831,0.831,0.831
"Gilliam",0.852,0.902,0.716,0.838,1.043,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952
"Grant",0.835,0.819,0.753,0.795,0.825,0.814,0.814,0.814,0.814,0.814,0.814,0.814,0.814
"Harney",0.805,0.766,0.736,0.779,0.795,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783
"Hood River",0.896,0.88,0.81,0.849,0.938,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936
"Jackson",0.91,0.911,0.903,0.977,0.938,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
"Jefferson",0.79,0.748,0.726,0.718,0.755,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744
"Josephine",0.82,0.801,0.791,0.812,0.816,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808
"Klamath",0.809,0.811,0.76,0.808,0.807,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
"Lake",0.875,0.811,0.783,0.795,0.822,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817
"Lane",0.919,0.929,0.915,0.933,0.924,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
"Lincoln",0.886,0.882,0.889,0.921,0.92,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923
"Linn",0.851,0.861,0.811,0.816,0.81,0.801,0.801,0.801,0.801,0.801,0.801,0.801,0.801
"Malheur",0.816,0.754,0.692,0.637,0.679,0.669,0.669,0.669,0.669,0.669,0.669,0.669,0.669
"Marion",0.943,0.931,0.877,0.892,0.924,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
"Morrow",0.894,0.722,0.74,0.828,1.006,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
"Multnomah",1.148,1.13,1.143,1.123,1.098,1.101,1.101,1.101,1.101,1.101,1.101,1.101,1.101
"Polk",0.862,0.86,0.869,0.844,0.863,0.852,0.852,0.852,0.852,0.852,0.852,0.852,0.852
"Sherman",1,0.774,0.766,0.858,1.451,1.322,1.322,1.322,1.322,1.322,1.322,1.322,1.322
"Tillamook",0.819,0.824,0.853,0.889,0.926,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907
"Umatilla",0.816,0.81,0.771,0.759,0.838,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
"Union",0.826,0.822,0.825,0.829,0.851,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854
"Wallowa",0.872,0.82,0.798,0.879,0.919,0.916,0.916,0.916,0.916,0.916,0.916,0.916,0.916
"Wasco",0.922,0.875,0.852,0.834,0.911,0.903,0.903,0.903,0.903,0.903,0.903,0.903,0.903
"Washington",1.157,1.164,1.166,1.109,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
"Wheeler",0.731,0.691,0.694,0.823,0.724,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
"Yamhill",0.894,0.906,0.853,0.937,0.902,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904
